generation,best_formula,combined_fitness,fitness,novelty,complexity,strict_hits,closeness,variance
185,1559*x**2 + 157*x,4695727.475672587,1.8930202465633125e-09,4695727.645672585,17,0,1.8930202465633125e-09,22049858122333.8
186,1574*x**2 + 193*x + 15,4741872.246214382,1.8743618336835335e-09,4741872.46621438,22,0,1.8743618336835335e-09,22485354485842.05
187,1587*x**2 + 151*x,4779817.151559603,1.8597735642367687e-09,4779817.321559601,17,0,1.8597735642367687e-09,22846653627481.2
188,1587*x**2 + 151*x,4779817.151559603,1.8597735642367687e-09,4779817.321559601,17,0,1.8597735642367687e-09,22846653627481.2
189,1594*x**2 + 98*x,4799399.2112618685,1.8525356845241993e-09,4799399.371261867,16,0,1.8525356845241993e-09,23034234324868.8
190,1600*x**2 + 130*x,4818349.36090008,1.8450444305887348e-09,4818349.530900078,17,0,1.8450444305887348e-09,23216492201925.0
191,1608*x**2 + 97*x + 5,4841499.947892228,1.8364359312367721e-09,4841500.147892226,20,0,1.8364359312367721e-09,23440123682040.45
192,1615*x**2 + 128*x,4863431.364522129,1.8279613515886276e-09,4863431.534522127,17,0,1.8279613515886276e-09,23652966290984.25
193,1630*x**2 + 212*x,4910918.68323643,1.8097681468383909e-09,4910918.853236428,17,0,1.8097681468383909e-09,24117123983073.0
194,1637*x**2 + 161*x,4930556.63822777,1.8028807105876917e-09,4930556.808227768,17,0,1.8028807105876917e-09,24310390439161.2
195,1642*x**2 + 211*x,4947001.065289766,1.7965832357246667e-09,4947001.235289764,17,0,1.7965832357246667e-09,24472821221958.45
196,1652*x**2 + 89*x,4973680.870296823,1.7876950582234225e-09,4973681.030296821,16,0,1.7876950582234225e-09,24737502991134.45
197,1659*x**2 + 237*x,4998884.598345217,1.7777924173057368e-09,4998884.768345215,17,0,1.7777924173057368e-09,24988848927193.8
